
C:\Users\naladiani>netstat -an

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:9000           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:21112          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49694          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49699          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49764          0.0.0.0:0              LISTENING
  TCP    10.110.161.44:139      0.0.0.0:0              LISTENING
  TCP    10.110.161.44:7680     10.110.160.38:50067    TIME_WAIT
  TCP    10.110.161.44:7680     10.110.160.172:63596   TIME_WAIT
  TCP    10.110.161.44:7680     10.110.161.25:59285    TIME_WAIT
  TCP    10.110.161.44:7680     10.110.162.82:60014    TIME_WAIT
  TCP    10.110.161.44:49710    13.228.200.32:443      ESTABLISHED
  TCP    10.110.161.44:49955    20.197.71.89:443       ESTABLISHED
  TCP    10.110.161.44:52177    10.0.216.82:3952       ESTABLISHED
  TCP    10.110.161.44:52201    88.221.30.33:443       CLOSE_WAIT
  TCP    10.110.161.44:52575    92.122.225.58:443      CLOSE_WAIT
  TCP    10.110.161.44:52576    95.100.170.26:443      CLOSE_WAIT
  TCP    10.110.161.44:52577    95.100.170.26:443      CLOSE_WAIT
  TCP    10.110.161.44:52578    92.122.225.58:443      CLOSE_WAIT
  TCP    10.110.161.44:52579    92.122.225.58:443      CLOSE_WAIT
  TCP    10.110.161.44:53165    172.18.11.21:8080      TIME_WAIT
  TCP    10.110.161.44:53167    172.18.11.21:8080      TIME_WAIT
  TCP    10.110.161.44:53176    20.54.110.119:443      TIME_WAIT
  TCP    10.110.161.44:53177    20.54.110.119:443      TIME_WAIT
  TCP    10.110.161.44:53179    95.140.230.192:80      TIME_WAIT
  TCP    10.110.161.44:53180    95.140.230.128:80      TIME_WAIT
  TCP    10.110.161.44:53182    20.54.110.119:443      TIME_WAIT
  TCP    10.110.161.44:53183    8.238.182.254:80       TIME_WAIT
  TCP    10.110.161.44:53185    52.182.141.63:443      TIME_WAIT
  TCP    10.110.161.44:53187    8.238.182.254:80       TIME_WAIT
  TCP    10.110.161.44:53188    95.100.170.88:80       TIME_WAIT
  TCP    10.110.161.44:53189    95.100.170.82:80       TIME_WAIT
  TCP    10.110.161.44:53191    95.100.170.82:80       TIME_WAIT
  TCP    10.110.161.44:53192    95.100.170.88:80       TIME_WAIT
  TCP    10.110.161.44:53193    52.182.141.63:443      TIME_WAIT
  TCP    10.110.161.44:53194    52.179.216.235:443     ESTABLISHED
  TCP    10.110.161.44:53196    8.238.182.254:80       TIME_WAIT
  TCP    10.110.161.44:53197    20.50.201.195:443      TIME_WAIT
  TCP    10.110.161.44:53198    8.241.92.254:80        TIME_WAIT
  TCP    10.110.161.44:53199    8.238.183.126:80       TIME_WAIT
  TCP    10.110.161.44:53201    40.74.30.202:443       TIME_WAIT
  TCP    10.110.161.44:53202    20.50.201.195:443      TIME_WAIT
  TCP    10.110.161.44:53203    140.82.121.6:443       TIME_WAIT
  TCP    10.110.161.44:53204    140.82.121.3:443       TIME_WAIT
  TCP    10.110.161.44:53205    10.110.161.19:7680     TIME_WAIT
  TCP    10.110.161.44:53206    140.82.112.21:443      TIME_WAIT
  TCP    10.110.161.44:53207    140.82.112.21:443      TIME_WAIT
  TCP    10.110.161.44:53209    104.208.16.90:443      TIME_WAIT
  TCP    10.110.161.44:53210    172.217.171.234:443    TIME_WAIT
  TCP    10.110.161.44:53211    172.18.11.21:8080      TIME_WAIT
  TCP    10.110.161.44:53213    172.18.11.21:8080      TIME_WAIT
  TCP    10.110.161.44:53214    172.16.40.10:8027      ESTABLISHED
  TCP    10.110.161.44:53215    140.82.121.3:443       TIME_WAIT
  TCP    10.110.161.44:53217    140.82.121.6:443       TIME_WAIT
  TCP    10.110.161.44:53220    142.250.203.234:443    TIME_WAIT
  TCP    10.110.161.44:53221    172.18.11.21:8080      ESTABLISHED
  TCP    10.110.161.44:53222    172.18.11.21:8080      TIME_WAIT
  TCP    10.110.161.44:53223    172.18.11.21:8080      TIME_WAIT
  TCP    10.110.161.44:53224    140.82.112.21:443      TIME_WAIT
  TCP    10.110.161.44:53229    95.100.170.88:80       TIME_WAIT
  TCP    10.110.161.44:53230    95.100.170.82:80       TIME_WAIT
  TCP    10.110.161.44:53231    140.82.121.6:443       TIME_WAIT
  TCP    10.110.161.44:53233    140.82.121.3:443       TIME_WAIT
  TCP    10.110.161.44:53234    95.100.170.82:80       TIME_WAIT
  TCP    10.110.161.44:53235    95.100.170.88:80       TIME_WAIT
  TCP    10.110.161.44:53238    23.50.190.30:443       ESTABLISHED
  TCP    10.110.161.44:53239    140.82.121.6:443       TIME_WAIT
  TCP    10.110.161.44:53242    23.50.190.30:443       ESTABLISHED
  TCP    10.110.161.44:53243    140.82.112.21:443      TIME_WAIT
  TCP    10.110.161.44:53245    172.18.11.21:8080      ESTABLISHED
  TCP    10.110.161.44:53246    95.140.230.128:80      TIME_WAIT
  TCP    10.110.161.44:53247    178.79.225.128:80      TIME_WAIT
  TCP    10.110.161.44:53249    20.44.10.122:443       TIME_WAIT
  TCP    10.110.161.44:53251    172.18.10.10:445       ESTABLISHED
  TCP    10.110.161.44:53252    140.82.112.21:443      TIME_WAIT
  TCP    10.110.161.44:53253    140.82.121.6:443       TIME_WAIT
  TCP    10.110.161.44:53254    140.82.112.26:443      ESTABLISHED
  TCP    10.110.161.44:53255    23.50.190.30:443       ESTABLISHED
  TCP    10.110.161.44:53256    8.238.182.254:80       ESTABLISHED
  TCP    10.110.161.44:53257    23.50.190.30:443       ESTABLISHED
  TCP    10.110.161.44:53258    20.44.10.122:443       TIME_WAIT
  TCP    10.110.161.44:53259    95.100.170.88:80       TIME_WAIT
  TCP    10.110.161.44:53260    95.100.170.82:80       TIME_WAIT
  TCP    10.110.161.44:53261    8.238.182.254:80       ESTABLISHED
  TCP    10.110.161.44:53262    95.100.170.82:80       TIME_WAIT
  TCP    10.110.161.44:53263    95.100.170.88:80       TIME_WAIT
  TCP    10.110.161.44:53264    40.125.122.151:443     TIME_WAIT
  TCP    10.110.161.44:53265    20.44.10.122:443       TIME_WAIT
  TCP    10.110.161.44:53266    40.74.30.202:443       TIME_WAIT
  TCP    10.110.161.44:53269    95.100.170.88:80       ESTABLISHED
  TCP    10.110.161.44:53270    95.100.170.82:80       ESTABLISHED
  TCP    10.110.161.44:53272    95.100.170.88:80       ESTABLISHED
  TCP    10.110.161.44:53273    95.100.170.82:80       ESTABLISHED
  TCP    10.110.161.44:53274    140.82.121.5:443       TIME_WAIT
  TCP    10.110.161.44:53275    18.66.162.28:443       TIME_WAIT
  TCP    10.110.161.44:53280    172.18.11.21:8080      ESTABLISHED
  TCP    10.110.161.44:53281    23.50.190.30:443       ESTABLISHED
  TCP    10.110.161.44:53282    142.250.200.206:443    TIME_WAIT
  TCP    10.110.161.44:53283    142.251.37.226:443     ESTABLISHED
  TCP    10.110.161.44:53284    95.100.170.88:80       TIME_WAIT
  TCP    10.110.161.44:53285    95.100.170.82:80       TIME_WAIT
  TCP    10.110.161.44:53290    20.44.10.122:443       TIME_WAIT
  TCP    10.110.161.44:53292    95.100.170.88:80       ESTABLISHED
  TCP    10.110.161.44:53293    95.100.170.82:80       ESTABLISHED
  TCP    10.110.161.44:53294    204.79.197.200:443     ESTABLISHED
  TCP    10.110.161.44:53296    23.50.190.30:443       ESTABLISHED
  TCP    127.0.0.1:40000        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:40000        127.0.0.1:49899        ESTABLISHED
  TCP    127.0.0.1:49899        127.0.0.1:40000        ESTABLISHED
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:3389              [::]:0                 LISTENING
  TCP    [::]:7680              [::]:0                 LISTENING
  TCP    [::]:21112             [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:49669             [::]:0                 LISTENING
  TCP    [::]:49670             [::]:0                 LISTENING
  TCP    [::]:49694             [::]:0                 LISTENING
  TCP    [::]:49699             [::]:0                 LISTENING
  TCP    [::]:49764             [::]:0                 LISTENING
  TCP    [::1]:49685            [::]:0                 LISTENING
  TCP    [::1]:49938            [::1]:49939            ESTABLISHED
  TCP    [::1]:49939            [::1]:49938            ESTABLISHED
  UDP    0.0.0.0:123            *:*
  UDP    0.0.0.0:500            *:*
  UDP    0.0.0.0:3389           *:*
  UDP    0.0.0.0:4500           *:*
  UDP    0.0.0.0:5050           *:*
  UDP    0.0.0.0:5353           *:*
  UDP    0.0.0.0:5353           *:*
  UDP    0.0.0.0:5353           *:*
